Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Saurabh,UK (United Kingdom),iPhone,0,crazy,"Crazy, Stupid, Love",view_video_info,title_results,30/03/21 21:51
Saurabh,UK (United Kingdom),iPhone,0,i care,I Care a Lot,play,video_info,13/03/21 20:14
Saurabh,UK (United Kingdom),iPhone,0,i care,I Care a Lot,view_video_info,title_results,13/03/21 20:13
Saurabh,UK (United Kingdom),iPhone,0,care,I Care a Lot,play,video_info,4/3/21 9:51
Saurabh,UK (United Kingdom),iPhone,0,care,I Care a Lot,view_video_info,title_results,4/3/21 9:48
Saurabh,UK (United Kingdom),iPhone,0,red,Red,play,video_info,1/3/21 11:44
Saurabh,UK (United Kingdom),iPhone,0,red,Red,view_video_info,title_results,1/3/21 11:44
Saurabh,UK (United Kingdom),iPhone,0,to all the boys,After We Collided,view_video_info,title_results,20/02/21 4:31
Saurabh,UK (United Kingdom),iPhone,0,pit,Pitta Kathalu,view_video_info,title_results,19/02/21 17:22
Saurabh,UK (United Kingdom),iPhone,0,pit,Pitta Kathalu,view_video_info,title_results,19/02/21 7:37
Saurabh,UK (United Kingdom),iPhone,0,to all the boys,To All The Boys: Always And Forever,view_video_info,title_results,12/2/21 6:04
Saurabh,UK (United Kingdom),iPhone,0,,,play,video_info,9/2/21 4:28
Saurabh,UK (United Kingdom),iPhone,0,,Doob: No Bed of Roses,view_video_info,popularSearches,9/2/21 4:25
Saurabh,UK (United Kingdom),HTML 5,0,white tiger,The White Tiger,play,title_results,22/01/21 9:30
Saurabh,UK (United Kingdom),HTML 5,0,spliy,Split,play,title_results,12/1/21 9:56
Saurabh,UK (United Kingdom),HTML 5,0,lupin,Lupin,play,title_results,12/1/21 9:11
Saurabh,UK (United Kingdom),HTML 5,0,spliy,,play,title_results,12/1/21 8:47
Saurabh,UK (United Kingdom),iPhone,0,split,Split,view_video_info,title_results,12/1/21 8:30
Saurabh,UK (United Kingdom),iPhone,0,kanan gill,Best of Stand-Up 2020,play,video_info,7/1/21 9:06
Saurabh,UK (United Kingdom),iPhone,0,kanan gill,Best of Stand-Up 2020,view_video_info,title_results,7/1/21 9:06
Saurabh,UK (United Kingdom),iPhone,0,paava,Paava Kadhaigal,play,video_info,18/12/20 8:30
Saurabh,UK (United Kingdom),iPhone,0,paava,Paava Kadhaigal,play,video_info,18/12/20 8:11
Saurabh,UK (United Kingdom),iPhone,0,paava,Paava Kadhaigal,view_video_info,title_results,18/12/20 8:11
Saurabh,UK (United Kingdom),iPhone,0,paava k,Paava Kadhaigal,view_video_info,title_results,18/12/20 5:55
Saurabh,UK (United Kingdom),iPad,0,per,The Perks of Being a Wallflower,view_video_info,title_results,18/12/20 5:17
Saurabh,UK (United Kingdom),iPhone,0,mirage,Mirage,view_video_info,title_results,18/12/20 4:37
